iter	Passed	Remaining
0	550	274906
1	1236	307809
2	1791	296814
3	2391	296563
4	2873	284452
5	3418	281477
6	3869	272488
7	4360	268174
8	4857	265009
9	5342	261761
10	5858	260417
11	6340	257843
12	6844	256400
13	7364	255639
14	7841	253535
15	8310	251378
16	8769	249155
17	9307	249224
18	9844	249226
19	10330	247942
20	10740	244990
21	11193	243205
22	11656	241754
23	12131	240601
24	12581	239052
25	13082	238503
26	13585	237996
27	14026	236444
28	14459	234838
29	14939	234051
30	15346	232170
31	15827	231470
32	16409	232219
33	16830	230673
34	17305	229921
35	17782	229193
36	18184	227548
37	18712	227510
38	19231	227327
39	19702	226574
40	20184	225970
41	20707	225805
42	21176	225060
43	21690	224788
44	22139	223851
45	22609	223145
46	23010	221777
47	23419	220529
48	23889	219882
49	24354	219194
50	24790	218256
51	25281	217810
52	25769	217336
53	26269	216967
54	26756	216482
55	27241	215986
56	27741	215606
57	28177	214729
58	28614	213880
59	29122	213567
60	29576	212851
61	30009	212000
62	30443	211172
63	30927	210692
64	31367	209920
65	31832	209325
66	32200	208104
67	32689	207675
68	33178	207242
69	33592	206356
70	34040	205680
71	34516	205181
72	34947	204418
73	35458	204125
74	35907	203475
75	36287	202445
76	36694	201582
77	37147	200975
78	37568	200204
79	37983	199413
80	38486	199084
81	38843	198007
82	39313	197512
83	39780	197009
84	40179	196168
85	40612	195505
86	41100	195108
87	41555	194555
88	41971	193823
89	42355	192954
90	42755	192163
91	43255	191827
92	43685	191182
93	44215	190974
94	44686	190504
95	45155	190028
96	45552	189252
97	45992	188663
98	46474	188244
99	46858	187433
100	47357	187085
101	47782	186447
102	48254	185992
103	48708	185468
104	49145	184881
105	49648	184542
106	50106	184035
107	50513	183344
108	50959	182801
109	51428	182339
110	51881	181819
111	52301	181188
112	52812	180869
113	53280	180405
114	53675	179697
115	54119	179154
116	54667	178952
117	55100	178376
118	55539	177818
119	56006	177355
120	56461	176851
121	56883	176245
122	57343	175760
123	57731	175055
124	58183	174549
125	58642	174064
126	59067	173482
127	59506	172939
128	59878	172209
129	60264	171522
130	60815	171304
131	61287	170863
132	61775	170463
133	62292	170142
134	62749	169656
135	63147	169011
136	63598	168513
137	64031	167966
138	64444	167370
139	64862	166788
140	65369	166437
141	65846	166007
142	66336	165608
143	66740	164996
144	67239	164620
145	67688	164121
146	68134	163615
147	68713	163427
148	69187	162986
149	69605	162413
150	70089	161994
151	70608	161655
152	71025	161084
153	71487	160614
154	71936	160116
155	72481	159829
156	72953	159382
157	73414	158909
158	73802	158280
159	74286	157859
160	74717	157324
161	75180	156858
162	75636	156377
163	76065	155842
164	76460	155238
165	76886	154699
166	77321	154180
167	77774	153697
168	78192	153145
169	78633	152640
170	79089	152167
171	79618	151830
172	80045	151299
173	80417	150666
174	80857	150164
175	81364	149784
176	81831	149330
177	82312	148902
178	82767	148426
179	83234	147972
180	83688	147496
181	84132	147001
182	84592	146535
183	85015	146004
184	85436	145472
185	85918	145044
186	86370	144566
187	86800	144051
188	87253	143576
189	87655	143017
190	88095	142520
191	88582	142100
192	89037	141629
193	89529	141216
194	89946	140685
195	90382	140184
196	90796	139651
197	91273	139214
198	91720	138732
199	92158	138237
200	92605	137756
201	93052	137275
202	93525	136833
203	93997	136388
204	94409	135857
205	94905	135447
206	95374	134999
207	95846	134553
208	96241	134002
209	96644	133461
210	97122	133024
211	97551	132522
212	97992	132036
213	98442	131563
214	98873	131065
215	99337	130610
216	99742	130078
217	100118	129511
218	100617	129102
219	101200	128801
220	101661	128342
221	102132	127895
222	102557	127392
223	102991	126899
224	103433	126418
225	103912	125982
226	104481	125654
227	104941	125193
228	105369	124694
229	105774	124170
230	106246	123724
231	106731	123293
232	107154	122790
233	107613	122330
234	108053	121847
235	108493	121365
236	108891	120837
237	109364	120392
238	109794	119901
239	110233	119419
240	110676	118943
241	111189	118541
242	111620	118051
243	112069	117581
244	112516	117108
245	113014	116689
246	113445	116201
247	113893	115730
248	114326	115245
249	114763	114763
250	115195	114277
251	115669	113833
252	116140	113385
253	116592	112920
254	117021	112432
255	117442	111937
256	117878	111456
257	118325	110987
258	118780	110525
259	119239	110067
260	119676	109588
261	120106	109104
262	120561	108643
263	121021	108186
264	121470	107718
265	121933	107264
266	122375	106792
267	122803	106307
268	123244	105834
269	123727	105397
270	124160	104917
271	124596	104441
272	125023	103957
273	125452	103475
274	125915	103021
275	126380	102569
276	126805	102085
277	127213	101587
278	127638	101104
279	128097	100647
280	128537	100176
281	129005	99727
282	129446	99257
283	129922	98814
284	130489	98439
285	130918	97960
286	131362	97491
287	131798	97018
288	132247	96554
289	132674	96074
290	133117	95606
291	133578	95151
292	134022	94684
293	134460	94214
294	134897	93742
295	135340	93275
296	135761	92793
297	136212	92331
298	136647	91860
299	137101	91401
300	137545	90935
301	137982	90465
302	138437	90006
303	138875	89538
304	139343	89088
305	139778	88617
306	140290	88195
307	140755	87743
308	141178	87265
309	141597	86785
310	142032	86315
311	142479	85852
312	142893	85371
313	143364	84922
314	143792	84449
315	144330	84040
316	144776	83577
317	145181	83091
318	145628	82629
319	146090	82175
320	146520	81704
321	146950	81233
322	147428	80789
323	147879	80329
324	148327	79868
325	148753	79396
326	149153	78909
327	149586	78441
328	150034	77981
329	150476	77518
330	150942	77067
331	151407	76615
332	151898	76177
333	152357	75722
334	152786	75252
335	153220	74786
336	153659	74321
337	154116	73866
338	154544	73397
339	154980	72932
340	155417	72467
341	155844	71998
342	156289	71537
343	156745	71082
344	157178	70616
345	157642	70164
