iter	MultiClass
0	2.106034131
1	1.807859107
2	1.597388139
3	1.460057366
4	1.341052804
5	1.233359523
6	1.155340666
7	1.090841056
8	1.035327281
9	0.9743809912
10	0.9283729635
11	0.8816412273
12	0.8431319716
13	0.8043461881
14	0.7699463969
15	0.7410417203
16	0.7114598055
17	0.6866839563
18	0.6650469433
19	0.6478162296
20	0.629335943
21	0.6106386536
22	0.592129155
23	0.5747939129
24	0.5601024771
25	0.5400273197
26	0.5244443035
27	0.5141915519
28	0.5050626612
29	0.4959321933
30	0.484606036
31	0.4735309733
32	0.4664298935
33	0.4594373905
34	0.4520823922
35	0.4428296865
36	0.4384313438
37	0.4321247692
38	0.4283410237
39	0.4215452227
40	0.4130869826
41	0.4054295098
42	0.4006489371
43	0.394463546
44	0.3884301918
45	0.3851949311
46	0.3814592067
47	0.3787927354
48	0.3754740658
49	0.3708978814
50	0.369224977
51	0.3665508062
52	0.362483109
53	0.3603485142
54	0.3575235182
55	0.3530880016
56	0.3502307081
57	0.3473769674
58	0.3447026359
59	0.3428097482
60	0.3401710537
61	0.3388404429
62	0.3372680339
63	0.3341156039
64	0.3333001858
65	0.3316803335
66	0.3308333893
67	0.3295425532
68	0.3281206573
69	0.3272908254
70	0.3257824678
71	0.3246838396
72	0.3236090978
73	0.3224616159
74	0.3215368647
75	0.3206486823
76	0.3203642183
77	0.319384836
78	0.3186559477
79	0.3181082749
80	0.316989448
81	0.3152698531
82	0.3147288239
83	0.3135886679
84	0.3129500618
85	0.31273593
86	0.3120898916
87	0.3115738788
88	0.3109287991
89	0.3107639368
90	0.3102361599
91	0.3086966304
92	0.3084936324
93	0.307694056
94	0.3070910878
95	0.306177677
96	0.3059744718
97	0.3049910983
98	0.3044189056
99	0.3041047846
100	0.303765645
101	0.3030810867
102	0.3023637951
103	0.3018815941
104	0.3013283331
105	0.3005408953
106	0.2998396693
107	0.2985496128
108	0.2982435808
109	0.2977730858
110	0.2974778076
111	0.2971259383
112	0.2956907621
113	0.2950256132
114	0.2945959635
115	0.2940726919
116	0.293520966
117	0.2932561468
118	0.2926808384
119	0.2923711965
120	0.29199469
121	0.2918251036
122	0.291526741
123	0.2912939299
124	0.2908817478
125	0.2906617528
126	0.2904409285
127	0.2901769311
128	0.2900050653
129	0.2897847672
130	0.2893370702
131	0.2887546533
132	0.2884454089
133	0.2882676226
134	0.2880123409
135	0.2877256884
136	0.2876129979
137	0.2872655822
138	0.2871046549
139	0.2869140674
140	0.2867466404
141	0.2856357857
142	0.2853835715
143	0.2853274166
144	0.2852543694
145	0.2850926202
146	0.2848324598
147	0.2844229235
148	0.2841984372
149	0.2840925809
150	0.2834778348
151	0.2831221602
152	0.2828525539
153	0.2826746345
154	0.2821915222
155	0.281982677
156	0.2815883136
157	0.2815019546
158	0.2813112078
159	0.2810407426
160	0.2808515257
161	0.2807462814
162	0.2803565973
163	0.2792898782
164	0.2782519142
165	0.2782373547
166	0.2779454565
167	0.2776260381
168	0.2775000663
169	0.2773322039
170	0.2772008912
171	0.2765501641
172	0.276337373
173	0.2762209546
174	0.2760910981
175	0.2757141045
176	0.2756648189
177	0.2754102599
178	0.2752789582
179	0.2750224122
180	0.274891269
181	0.2748028959
182	0.2747409348
