iter	MultiClass
0	2.108961095
1	1.809309723
2	1.599336446
3	1.462545565
4	1.343540944
5	1.236392595
6	1.159070733
7	1.094809432
8	1.039613125
9	0.9789313634
10	0.9321216247
11	0.8857345173
12	0.8475279814
13	0.8093342156
14	0.7756165742
15	0.7467683231
16	0.719290281
17	0.6944842452
18	0.673068499
19	0.6558906366
20	0.6382999025
21	0.6195127981
22	0.6009911914
23	0.5835630234
24	0.568894788
25	0.5484652224
26	0.5329369846
27	0.5224045904
28	0.5133030621
29	0.5041692703
30	0.4910646012
31	0.4787655989
32	0.4720195017
33	0.4652701172
34	0.4582658513
35	0.4489830408
36	0.4445819445
37	0.4383278457
38	0.4344796397
39	0.4280093148
40	0.4200405242
41	0.4146670479
42	0.4101663803
43	0.4061843153
44	0.4006323834
45	0.397393123
46	0.3944698725
47	0.3917802603
48	0.3886987826
49	0.3848884025
50	0.3832427298
51	0.3795248229
52	0.3767387022
53	0.3739605757
54	0.371703009
55	0.3676868718
56	0.3655936763
57	0.3625407996
58	0.3595241245
59	0.356861441
60	0.3540800954
61	0.3527394333
62	0.3508136744
63	0.3476292121
64	0.3466287906
65	0.3455101803
66	0.3446598647
67	0.3428108957
68	0.3411794748
69	0.3401828245
70	0.3385031478
71	0.3377617391
72	0.3365724463
73	0.3353449171
74	0.3343607148
75	0.3336241616
76	0.3333465239
77	0.3322317581
78	0.3310759976
79	0.3304416088
80	0.3288975401
81	0.3270586573
82	0.3265130841
83	0.3255745822
84	0.3249118644
85	0.3246915978
86	0.3231447689
87	0.3223420826
88	0.3217488115
89	0.3205608067
90	0.3179754544
91	0.3165833688
92	0.3161056782
93	0.3152241294
94	0.3147007429
95	0.3136510808
96	0.3134481699
97	0.3124257115
98	0.3113382783
99	0.3110679837
100	0.3103745913
101	0.3099756455
102	0.3092796501
103	0.308788244
104	0.3083397605
105	0.3075664156
106	0.3066770112
107	0.3064280889
108	0.3060818859
109	0.3054709825
110	0.3052109683
111	0.3048870196
112	0.303364912
113	0.3026061651
114	0.3023280012
115	0.3013759714
116	0.3008481261
117	0.3005905935
118	0.300174082
119	0.300010529
120	0.299674711
121	0.2995699845
122	0.2992754458
123	0.2989191415
124	0.2982269148
125	0.2979963929
126	0.2979168694
127	0.2976976737
128	0.2975123156
129	0.2974252413
130	0.2968783879
131	0.2962366517
132	0.2959050992
133	0.2956137983
134	0.2950304284
135	0.2946423302
136	0.2942423809
137	0.293888179
138	0.2937868494
139	0.2935671292
140	0.2934488491
141	0.2922447776
142	0.2920110574
143	0.2919290107
144	0.2917330791
145	0.2914757511
146	0.2911937003
147	0.2908466254
148	0.2907150787
149	0.2904990868
150	0.2898863142
151	0.2894838073
152	0.2892291291
153	0.2890706457
154	0.2886796555
155	0.288445789
156	0.2880492152
157	0.2879141568
158	0.2877300861
159	0.2874587156
160	0.2872701178
161	0.2871550338
162	0.2869566211
163	0.2858196823
164	0.2853808764
165	0.2853647217
166	0.2851861596
167	0.2849262987
168	0.284811367
169	0.2847559417
170	0.2845910435
171	0.2841013396
172	0.2838170918
173	0.2836963497
174	0.2833823896
175	0.2828680423
176	0.282814245
177	0.2826906085
178	0.2826196598
179	0.2822777529
180	0.2821475225
181	0.282085443
182	0.2820140187
183	0.2818352082
184	0.2818028629
185	0.2816788305
186	0.2816294006
187	0.2809357208
188	0.2807408642
189	0.280600429
190	0.2804247839
191	0.2801203475
192	0.2798406969
193	0.2797809835
194	0.2795922037
195	0.2786421505
196	0.2785005325
197	0.2783616499
198	0.2781329076
199	0.2776573714
200	0.2774436073
201	0.2772229236
202	0.2768585804
203	0.2766851426
204	0.276514691
205	0.2754988307
206	0.275077622
207	0.2748253064
208	0.2744410612
209	0.2742606713
210	0.2734104251
211	0.2730829303
212	0.2727735195
213	0.2724227401
214	0.2722897078
215	0.2721064574
216	0.2718588735
217	0.2715149376
218	0.2713126763
219	0.2703849495
220	0.2702820072
221	0.2701154878
222	0.2697980585
223	0.2696486274
224	0.2693811731
225	0.2691480089
226	0.2689660544
227	0.26876829
228	0.2685380608
229	0.2682288791
230	0.2680409762
231	0.267799046
232	0.2675643141
233	0.2671115615
234	0.2667515286
235	0.2664446212
236	0.2662759904
237	0.2654193173
238	0.2651096883
239	0.2647801068
240	0.2644159811
241	0.2641841017
242	0.2640095227
243	0.2638289058
244	0.2636242805
245	0.263394874
246	0.2628280229
247	0.2625571509
248	0.2623693444
249	0.261998106
250	0.2613913622
251	0.2611829146
252	0.2610196566
253	0.2607474447
254	0.2605489465
255	0.2603119891
256	0.2601318529
257	0.259800248
258	0.25972835
259	0.2594723161
260	0.2591252929
261	0.258989325
262	0.2588659006
263	0.2586771862
264	0.258415179
265	0.2582019356
266	0.2580804357
267	0.2573557811
268	0.257213098
269	0.2568870874
270	0.2566700136
271	0.2562997619
272	0.2561126656
273	0.2560124587
274	0.2553946386
275	0.2551942506
276	0.2549457319
277	0.2546889866
278	0.2545165467
279	0.2542864737
280	0.2541580654
281	0.2539506431
282	0.2537650545
283	0.253671009
284	0.2535463723
285	0.2534384343
286	0.2532736125
287	0.253122383
288	0.2528141136
289	0.2521743284
290	0.2518917339
291	0.2517445107
292	0.2514932778
293	0.2514351411
294	0.2512838955
295	0.2512101093
296	0.25112582
297	0.2510614406
298	0.2509474149
299	0.2506837146
300	0.2505134915
301	0.2504298622
302	0.2503317922
303	0.250272117
304	0.2501456645
305	0.2499713614
