iter	Passed	Remaining
0	708	353668
1	1331	331587
2	1870	309814
3	2435	302028
4	2922	289304
5	3449	284041
6	3897	274483
7	4402	270774
8	4889	266740
9	5374	263344
10	6236	277235
11	6714	273063
12	7223	270620
13	7707	267543
14	8187	264739
15	8663	262080
16	9115	259001
17	9668	258896
18	10190	257968
19	10669	256070
20	11080	252749
21	11584	251708
22	12047	249855
23	12566	249242
24	13033	247638
25	13535	246754
26	14045	246059
27	14484	244168
28	14930	242486
29	15399	241265
30	15833	239541
31	16335	238911
32	16921	239470
33	17335	237600
34	17816	236702
35	18324	236177
36	18722	234288
37	19252	234071
38	19677	232601
39	20142	231634
40	20610	230738
41	21085	229929
42	21510	228610
43	21959	227585
44	22342	225906
45	22812	225150
46	23217	223777
47	23614	222373
48	24095	221781
49	24565	221085
50	24948	219640
51	25464	219383
52	25884	218306
53	26385	217923
54	26808	216901
55	27201	215666
56	27703	215311
57	28141	214457
58	28564	213504
59	29029	212881
60	29462	212034
61	29889	211156
62	30307	210225
63	30824	209991
64	31298	209456
65	31760	208848
66	32124	207607
67	32610	207175
68	33102	206771
69	33501	205792
70	33959	205194
71	34402	204505
72	34848	203837
73	35357	203543
74	35811	202929
75	36240	202182
76	36634	201249
77	37089	200661
78	37511	199905
79	37927	199117
80	38417	198725
81	38770	197636
82	39164	196767
83	39593	196081
84	40031	195448
85	40460	194774
86	40930	194301
87	41333	193514
88	41768	192885
89	42244	192446
90	42713	191974
91	43177	191482
92	43551	190597
93	44065	190327
94	44548	189915
95	45012	189427
96	45415	188683
97	45855	188100
98	46368	187816
99	46748	186994
100	47229	186579
101	47641	185896
102	48129	185507
103	48596	185040
104	49047	184510
105	49583	184299
106	50052	183836
107	50471	183193
108	50916	182645
109	51420	182308
110	51840	181674
111	52245	180991
112	52733	180598
113	53195	180117
114	53628	179537
115	54126	179176
116	54661	178934
117	55090	178344
118	55463	177576
119	55814	176746
120	56263	176229
121	56636	175480
122	57055	174876
123	57444	174186
124	57854	173563
125	58323	173117
126	58738	172516
127	59178	171986
128	59581	171355
129	59952	170634
130	60507	170436
131	60985	170018
132	61464	169604
133	61939	169177
134	62410	168739
135	62809	168107
136	63278	167665
137	63757	167248
138	64222	166792
139	64636	166207
140	65121	165805
141	65572	165316
142	65994	164755
143	66334	163993
144	66724	163361
145	67221	162988
146	67630	162406
147	68128	162035
148	68631	161674
149	69034	161081
150	69510	160656
151	70061	160403
152	70458	159798
153	70905	159306
154	71361	158835
155	71883	158511
156	72342	158047
157	72790	157559
158	73164	156912
159	73639	156482
160	74088	156000
161	74535	155512
162	74979	155019
163	75422	154523
164	75832	153962
165	76246	153411
166	76724	152990
167	77179	152520
168	77594	151974
169	77990	151392
170	78452	150940
171	78949	150554
172	79361	150006
173	79724	149368
174	80203	148948
175	80646	148463
176	81108	148010
177	81596	147607
178	82012	147072
179	82483	146638
180	82939	146175
181	83384	145693
182	83873	145289
183	84308	144791
184	84672	144171
185	85107	143676
186	85476	143070
187	85906	142568
188	86366	142116
189	86770	141573
190	87202	141076
191	87663	140626
192	88082	140111
193	88582	139723
194	88970	139158
195	89396	138655
196	89807	138130
197	90283	137704
198	90726	137229
199	91237	136856
200	91638	136317
201	92085	135849
202	92569	135434
203	93053	135019
204	93467	134502
205	93986	134135
206	94466	133713
207	94931	133269
208	95406	132838
209	95824	132329
210	96323	131930
211	96772	131464
212	97238	131020
213	97627	130473
214	98051	129975
215	98520	129536
216	98941	129034
217	99352	128520
218	99803	128058
219	100385	127763
220	100824	127285
221	101240	126779
222	101668	126287
223	102081	125778
224	102474	125246
225	103009	124887
226	103493	124465
227	103903	123955
228	104484	123647
229	104930	123179
230	105383	122719
231	105886	122316
232	106326	121842
233	106804	121410
234	107242	120933
235	107694	120472
236	108140	120004
237	108608	119560
238	109050	119088
239	109487	118611
240	109931	118141
241	110372	117670
242	110794	117177
243	111236	116707
244	111687	116245
245	112114	115760
246	112577	115311
247	113008	114831
248	113447	114359
249	113872	113872
250	114313	113402
251	114761	112940
252	115206	112474
253	115622	111980
254	116026	111476
255	116451	110993
256	116913	110544
257	117334	110058
258	117761	109577
259	118212	109119
260	118658	108656
261	119085	108176
262	119508	107694
263	119963	107240
264	120402	106772
265	120823	106288
266	121241	105802
267	121674	105330
268	122159	104902
269	122634	104466
270	123073	103999
271	123506	103527
272	123942	103058
273	124386	102596
274	124873	102169
275	125315	101705
276	125756	101240
277	126194	100773
278	126631	100306
279	127118	99878
280	127565	99419
281	127979	98934
282	128437	98483
283	128885	98025
284	129317	97555
285	129757	97091
