iter	MultiClass
0	2.109915912
1	1.809295918
2	1.598943347
3	1.462095741
4	1.343033014
5	1.235597612
6	1.157939976
7	1.093576069
8	1.038193152
9	0.9771014432
10	0.9301177783
11	0.8837470801
12	0.8455540012
13	0.8071785229
14	0.7727067572
15	0.7436671722
16	0.7142618242
17	0.6894520969
18	0.6677120371
19	0.6503914094
20	0.6297620406
21	0.6086112801
22	0.590553028
23	0.5732205181
24	0.5585283918
25	0.5384660426
26	0.5230571965
27	0.5126630094
28	0.5036154391
29	0.4947852539
30	0.4827353837
31	0.4714926846
32	0.4642322455
33	0.4563471129
34	0.4492775264
35	0.4400117275
36	0.4357554894
37	0.4315809057
38	0.4277342866
39	0.4211728688
40	0.4130284919
41	0.405705195
42	0.4012756397
43	0.3973650151
44	0.3919104172
45	0.3886740929
46	0.3857878607
47	0.3831610862
48	0.3797164608
49	0.3760131201
50	0.3743585696
51	0.3717924559
52	0.3687936468
53	0.3660901511
54	0.3639556358
55	0.3591013213
56	0.3560446969
57	0.3530790387
58	0.3502424356
59	0.3472111822
60	0.3446007761
61	0.3430428444
62	0.3414002849
63	0.3384695341
64	0.3375301278
65	0.335527125
66	0.3346505164
67	0.3330289444
68	0.3317409746
69	0.3308551167
70	0.3288788536
71	0.3274002967
72	0.3262438607
73	0.3250750448
74	0.3241141326
75	0.3232559554
76	0.3229696533
77	0.3219276748
78	0.32063016
79	0.3201003644
80	0.3186570517
81	0.3168782643
82	0.3163701316
83	0.3142679411
84	0.3137447017
85	0.312948102
86	0.3123553255
87	0.3118482212
88	0.3113058668
89	0.3111460332
90	0.3106200725
91	0.3092329961
92	0.3089571305
93	0.3078131203
94	0.306973057
95	0.306094311
96	0.305888491
97	0.3048804347
98	0.3037557241
99	0.3035084882
100	0.302850194
101	0.3025265789
102	0.3016278619
103	0.3011836097
104	0.3007522283
105	0.3000112026
106	0.2990848443
107	0.2977527063
108	0.2974313239
109	0.2969583517
110	0.2964845107
111	0.2961830107
112	0.2947318742
113	0.2942090385
114	0.2939682119
115	0.2933183263
116	0.2928573316
117	0.2924891422
118	0.2922481998
119	0.2919538541
120	0.2915972827
121	0.2914089213
122	0.2911432048
123	0.2908258515
124	0.2904588385
125	0.2901711495
126	0.2900917773
127	0.2898000789
128	0.2896406887
129	0.2894617512
130	0.2889280885
131	0.2883675053
132	0.288066573
133	0.2878838416
134	0.2876645476
135	0.2873733203
136	0.2872491186
137	0.286916865
138	0.2868201383
139	0.2866015067
140	0.2862008321
141	0.2850333564
142	0.284825108
143	0.2847493328
144	0.2846802181
145	0.2845323836
146	0.2842711556
147	0.2840070245
148	0.283770619
149	0.2835434721
150	0.2828666794
151	0.2825285406
152	0.2822678123
153	0.2820943744
154	0.281693328
155	0.2815042247
156	0.2812748439
157	0.2811577155
158	0.2808407228
159	0.2805697799
160	0.2803055685
161	0.2800954471
162	0.2796566276
163	0.2785583534
164	0.2775314289
165	0.2775167167
166	0.27736263
167	0.2770864348
168	0.2769588563
169	0.276841183
170	0.2766733613
171	0.2761794227
172	0.2760418347
173	0.2759121155
174	0.2757134941
175	0.2753167693
176	0.275264658
177	0.2751868118
178	0.2750959465
179	0.2749016813
180	0.2747689233
181	0.2746776816
182	0.2746064038
183	0.2743909112
184	0.274297323
185	0.274176983
186	0.2740115046
187	0.2737634182
188	0.2735801389
189	0.2732505953
190	0.2730929954
191	0.2728014779
192	0.272697736
193	0.2726030677
194	0.2725487429
195	0.2722452943
196	0.2719896563
197	0.2718524289
198	0.2718183655
199	0.2714863004
200	0.2713437162
201	0.2711739064
202	0.2707602437
203	0.2705767951
204	0.2705668097
205	0.2702003873
206	0.2694893673
207	0.2693122945
208	0.2688966544
209	0.2686996226
210	0.2683133594
211	0.2680584183
212	0.2678577944
213	0.2677442969
214	0.2670532231
215	0.2667081671
216	0.2664045564
217	0.2662489932
218	0.2660071379
219	0.2652949222
220	0.2652403272
221	0.265052984
222	0.2647060628
223	0.264549108
224	0.2643277289
225	0.2640360197
226	0.2638991603
227	0.2636506331
228	0.263475546
229	0.2628042867
230	0.2627150942
231	0.2624545274
232	0.2621754484
233	0.2619821781
234	0.2617184126
235	0.2614844972
236	0.2612872126
237	0.2610743714
238	0.2608455881
239	0.2605725711
240	0.2603446551
241	0.2601722952
242	0.2599708955
243	0.2597301222
244	0.2595618093
245	0.2594193783
246	0.259348863
247	0.259191923
248	0.258882506
249	0.2587411952
250	0.2585460015
251	0.258389841
252	0.2580466056
253	0.2578288678
254	0.2571816676
255	0.2570815668
256	0.2568491048
257	0.2566068684
258	0.256285491
259	0.2560829024
260	0.2559096005
261	0.2557549894
262	0.2555331179
263	0.2554061167
264	0.2550839665
265	0.2549260887
266	0.2547517285
267	0.2545938306
268	0.2544159113
269	0.2539499413
270	0.2536548546
271	0.253448915
272	0.2532804823
273	0.2530343662
274	0.2529175337
275	0.2527971607
276	0.2525886401
277	0.252312914
278	0.252166207
279	0.2517579657
280	0.2515216828
281	0.2514309147
282	0.2510786615
283	0.2510056347
284	0.2508893434
285	0.2506002034
286	0.2505510312
287	0.2503649483
288	0.2502677768
289	0.2500753453
290	0.2499249946
291	0.249749351
292	0.2496262988
293	0.2495146316
294	0.2492377162
295	0.2491676659
296	0.2483926264
297	0.2477954376
298	0.2476515096
