iter	MultiClass
0	2.108467525
1	1.808131136
2	1.598861327
3	1.461852703
4	1.342885156
5	1.235884826
6	1.15837261
7	1.094209271
8	1.038833568
9	0.9780193536
10	0.9321146092
11	0.8858189364
12	0.8472525399
13	0.8088525647
14	0.7755127971
15	0.746604501
16	0.7191262029
17	0.6940268372
18	0.6722073399
19	0.6551060064
20	0.6370191725
21	0.615417959
22	0.5955794598
23	0.5774738084
24	0.5629502739
25	0.5427664836
26	0.5274064154
27	0.5168477471
28	0.5077722796
29	0.4986133344
30	0.4859432598
31	0.4743481741
32	0.4664089915
33	0.459616739
34	0.4525720845
35	0.443409038
36	0.439111471
37	0.4329921864
38	0.4294234706
39	0.4231439154
40	0.4151925161
41	0.4098515418
42	0.4051483632
43	0.4011883476
44	0.3950971813
45	0.391937742
46	0.3890435887
47	0.3861347975
48	0.3824733953
49	0.3788012202
50	0.3771960968
51	0.3736322341
52	0.369592091
53	0.3672939463
54	0.3643097094
55	0.35964598
56	0.357121032
57	0.3542364677
58	0.3513648935
59	0.3494006621
60	0.346337308
61	0.3450999594
62	0.3434386495
63	0.3412087622
64	0.3400946387
65	0.3381552709
66	0.3373223631
67	0.3357142887
68	0.3344815712
69	0.3335631244
70	0.3312329599
71	0.3295894171
72	0.3284509217
73	0.3272752862
74	0.3259982202
75	0.3251621156
76	0.3248582545
77	0.3239521595
78	0.3231499739
79	0.3226095505
80	0.3211855863
81	0.3194017915
82	0.3188302485
83	0.3173350444
84	0.3167791762
85	0.316363298
86	0.3151303772
87	0.3141990848
88	0.3137219373
89	0.3135797092
90	0.313037051
91	0.3116241065
92	0.3111742502
93	0.3100456837
94	0.309421522
95	0.3082851568
96	0.3081764805
97	0.3072190047
98	0.3062391675
99	0.3060141033
100	0.3053545074
101	0.304519262
102	0.3040639212
103	0.3035937532
104	0.3033239166
105	0.3025561449
106	0.3015174753
107	0.301275539
108	0.3009569749
109	0.3004711735
110	0.3001137678
111	0.2998871347
112	0.2984087495
113	0.2978556315
114	0.2976059804
115	0.2970122229
116	0.296486681
117	0.296245605
118	0.2957336871
119	0.2956061662
120	0.2952323598
121	0.2950565076
122	0.2947740686
123	0.2944352278
124	0.294042027
125	0.2937763664
126	0.2936841187
127	0.2930846254
128	0.2928334255
129	0.2927395343
130	0.292309821
131	0.2917080283
132	0.2913859234
133	0.2912183785
134	0.2909739822
135	0.290708201
136	0.2904491478
137	0.2900315667
138	0.2899338662
139	0.2896662129
140	0.2894959955
141	0.288252488
142	0.2880320252
143	0.287977466
144	0.2877669632
145	0.2876221626
146	0.2874468805
147	0.2871573693
148	0.2868512059
149	0.2867529836
150	0.2861439051
151	0.2857458277
152	0.2850964119
153	0.284965133
154	0.2846106032
155	0.2843823544
156	0.284113474
157	0.283996124
158	0.2838220434
159	0.2835066018
160	0.2833008954
161	0.2831936954
162	0.282968934
163	0.2818135066
164	0.2813804847
165	0.2813647964
166	0.2811996069
167	0.2809395265
168	0.2808268499
169	0.2807470648
170	0.2805665737
171	0.2800875537
172	0.2798637145
173	0.2797219451
174	0.2795868078
175	0.2791218544
176	0.2790778834
177	0.2789695602
178	0.2788714516
179	0.2786566041
180	0.2785495276
181	0.278397666
182	0.278329918
183	0.2781595675
184	0.2781310056
185	0.278002871
186	0.277947418
187	0.2775803584
188	0.2774299544
189	0.2772572338
190	0.2770677322
191	0.2767835538
192	0.2765920079
193	0.2765325005
194	0.2765095548
195	0.2762819227
196	0.2759817118
197	0.2757979586
198	0.27574589
199	0.2755422373
200	0.2746651618
201	0.2745072403
202	0.2742943588
203	0.2741667991
204	0.2740912037
205	0.2735275763
206	0.2734161696
207	0.2732655677
208	0.2730438068
209	0.2729577799
210	0.2724770324
211	0.2720605459
212	0.271969783
213	0.2717439139
214	0.2713995222
215	0.2704903429
216	0.2702489304
217	0.2699668921
218	0.2698364928
219	0.2695355907
220	0.2690227951
221	0.2688414135
222	0.2686172354
223	0.2677289253
224	0.2675304789
225	0.2672921679
226	0.2664438451
227	0.2662260766
228	0.2660869799
229	0.2657597109
230	0.2656080268
231	0.2654103208
232	0.2651736514
233	0.2644560145
234	0.2642148881
235	0.2638480388
236	0.2629832941
237	0.2626244716
238	0.2624727869
239	0.2622925657
240	0.2619718609
241	0.261653495
242	0.2613980026
243	0.2611911774
244	0.2609591497
245	0.2603171206
246	0.2601872894
247	0.2597876844
248	0.2595056394
249	0.2592111508
250	0.2589573895
251	0.2586860288
252	0.2584806573
253	0.2582210937
254	0.2578127404
255	0.2576164874
256	0.257384428
257	0.2572315986
258	0.2570008449
259	0.2568640249
260	0.2565589834
261	0.2562886525
262	0.2561377564
263	0.255937431
264	0.255723639
265	0.2552548393
266	0.2547459551
267	0.2545338737
268	0.2544408452
269	0.2542681489
270	0.2540279629
271	0.2537304939
272	0.2535033379
273	0.2531273855
274	0.2530213099
275	0.2529482939
276	0.2526396556
277	0.2524384256
278	0.2516962333
279	0.2515782903
280	0.2511948351
281	0.251117939
282	0.2510531815
283	0.2506948638
284	0.2500175563
285	0.2498514753
286	0.249553873
287	0.2493767577
288	0.2492336172
289	0.2491217066
290	0.2488793527
291	0.248583334
292	0.2484790571
293	0.2484363157
294	0.2482787257
295	0.2481654377
296	0.2479764604
297	0.2477568259
298	0.2474734921
299	0.2472371262
300	0.2471376659
301	0.2469961704
302	0.2467371096
303	0.2464609193
304	0.2461047992
305	0.2459135536
306	0.2458093519
307	0.2457010703
308	0.2450353944
309	0.244969793
310	0.2448937399
311	0.2448114974
312	0.2446882279
313	0.2440940935
314	0.243911342
315	0.2437434887
316	0.24325531
317	0.2431722973
318	0.2430790382
319	0.2427842967
320	0.2426082619
321	0.242569128
322	0.2424587657
323	0.2419241612
324	0.24176549
325	0.2417007024
326	0.241610382
327	0.2415255349
328	0.2414713438
329	0.2414408211
330	0.2411520822
331	0.2410022555
332	0.2409031452
333	0.2407273007
334	0.2404632414
335	0.240323983
336	0.2401924305
337	0.2401036221
338	0.2400545449
339	0.2399446387
340	0.23989258
341	0.2397419558
342	0.2395733334
343	0.2395142445
344	0.239406796
345	0.2393567533
346	0.2391976082
347	0.2391082966
348	0.2390854811
349	0.23895011
350	0.2388825835
351	0.2387632144
352	0.2385897534
353	0.2384479827
354	0.2383807978
355	0.238313938
356	0.2381899746
357	0.238122706
358	0.2379270515
359	0.2378431165
360	0.2376270826
361	0.2375311677
362	0.2374844324
363	0.2373816266
364	0.237253215
365	0.2371533979
366	0.2370171228
367	0.2369409842
368	0.2368045919
369	0.2365163975
370	0.2363928469
371	0.236278887
372	0.2361915024
373	0.2361241034
374	0.2360141194
375	0.2359805189
376	0.2359268196
377	0.2358181858
378	0.2357465677
379	0.2356890567
380	0.2355630305
381	0.2355320393
382	0.2354518215
383	0.2353693571
384	0.2353035933
385	0.2352724885
386	0.235210112
387	0.2350838356
388	0.2350284131
389	0.2349021991
390	0.2348448757
391	0.2347805664
392	0.2347408536
393	0.2347046607
394	0.2346738656
395	0.2346594668
396	0.2346301225
397	0.2345825419
398	0.2344755911
399	0.234357521
400	0.2342842466
401	0.2342618183
402	0.2340926331
403	0.2340131674
404	0.2339253332
405	0.233861477
406	0.2337371298
407	0.2336531389
408	0.233628199
409	0.2334734481
410	0.2333418299
411	0.2332456234
412	0.2331778521
413	0.2330348952
414	0.2330183041
415	0.2329780059
416	0.2328745463
417	0.2328211486
418	0.2327818022
419	0.23231569
420	0.2322777843
421	0.2320994119
422	0.2320218246
423	0.2319938395
424	0.2319502665
