iter	MultiClass
0	2.109253867
1	1.809420704
2	1.59942619
3	1.462624691
4	1.343905691
5	1.236835433
6	1.159403482
7	1.095193987
8	1.03994428
9	0.9791758909
10	0.9331712055
11	0.8865707856
12	0.8480764761
13	0.8099122917
14	0.77612658
15	0.7472865107
16	0.7178467175
17	0.6930651229
18	0.6715184205
19	0.6543683948
20	0.6366121547
21	0.6164697017
22	0.5981063708
23	0.5806356746
24	0.5660490535
25	0.5460310965
26	0.5306456979
27	0.5200495805
28	0.5109673163
29	0.5019520081
30	0.4891073575
31	0.4775292441
32	0.470872098
33	0.464280758
34	0.455255072
35	0.4459398938
36	0.4416220358
37	0.4374904547
38	0.4336295328
39	0.4270835704
40	0.4190224886
41	0.4118134686
42	0.4063019474
43	0.4018224801
44	0.396449693
45	0.39338341
46	0.3904596794
47	0.3874673953
48	0.3844810785
49	0.3807755442
50	0.3791075577
51	0.3764593967
52	0.3724813145
53	0.3697701169
54	0.3676873666
55	0.3629523434
56	0.3599143576
57	0.3571203259
58	0.3543413814
59	0.3525251117
60	0.350139546
61	0.3485650805
62	0.3470094705
63	0.3443999802
64	0.3432832033
65	0.3415530067
66	0.3398875336
67	0.3389043609
68	0.3373785069
69	0.336372607
70	0.3349443773
71	0.3341658046
72	0.3329647612
73	0.3317915105
74	0.3308090463
75	0.3301954329
76	0.3299127033
77	0.3289856932
78	0.3282230623
79	0.3276750555
80	0.3264210409
81	0.3245809015
82	0.3240049816
83	0.3227591822
84	0.3225265423
85	0.322104867
86	0.3214985955
87	0.3209523009
88	0.3203286253
89	0.3200690943
90	0.3195042958
91	0.3180922556
92	0.317797362
93	0.3169239392
94	0.3161456078
95	0.3152201935
96	0.3150322981
97	0.3136289194
98	0.3129712605
99	0.3127220751
100	0.3123668682
101	0.3117992877
102	0.3110060409
103	0.3105333087
104	0.3100618397
105	0.3090853189
106	0.3081918747
107	0.3068617717
108	0.3064687882
109	0.3059004426
110	0.3055283682
111	0.3051247321
112	0.3036830337
113	0.3029244689
114	0.302667492
115	0.3020264375
116	0.3015043705
117	0.3012455545
118	0.3004655507
119	0.300154398
120	0.2997605948
121	0.2995828475
122	0.2993074521
123	0.2989433622
124	0.2985035115
125	0.2983433407
126	0.2982556693
127	0.2979766625
128	0.2978379182
129	0.2977276814
130	0.2972458785
131	0.2967414264
132	0.2964054951
133	0.2961826132
134	0.2958954016
135	0.2955910173
136	0.2953944137
137	0.2950279952
138	0.2949341289
139	0.2946774205
140	0.2942305737
141	0.2930720103
142	0.2928450184
143	0.2927726115
144	0.2926776429
145	0.2924911755
146	0.2923950701
147	0.2920565174
148	0.29182799
149	0.2917088954
150	0.2910945835
151	0.2907632375
152	0.2905145716
153	0.2903416349
154	0.2899186879
155	0.2896914213
156	0.289427085
157	0.2893078451
158	0.2890998646
159	0.288634799
160	0.2884263351
161	0.2883287915
162	0.2881232015
163	0.2869932157
164	0.2859332286
165	0.2859186376
166	0.2857597105
167	0.285091584
168	0.284973419
169	0.2849219581
170	0.2847665442
171	0.2843011804
172	0.2841287493
173	0.2839869035
174	0.2838231692
175	0.2835240084
176	0.2834766506
177	0.2833909073
178	0.2833454896
179	0.2831735571
180	0.2830554721
181	0.2828243076
182	0.282749028
183	0.2824912532
184	0.2824607789
185	0.2823196841
186	0.2822089778
187	0.2819315779
188	0.2817641392
189	0.2815819505
190	0.2811151029
191	0.2808044117
192	0.2806954725
193	0.2806414412
194	0.2805925137
195	0.2802992828
196	0.2800770815
197	0.2799483945
198	0.2799037929
199	0.2796572089
200	0.2794646815
201	0.2792460268
202	0.2788523077
203	0.278783531
204	0.2787034532
205	0.2782680952
206	0.2779658545
207	0.277134926
208	0.2768033959
209	0.2766068983
210	0.2764249987
211	0.2762152024
212	0.2760367082
213	0.2757431692
214	0.2754485111
