iter	Passed	Remaining
0	631	315018
1	1261	314037
2	1812	300273
3	2389	296276
4	2873	284511
5	3423	281861
6	3884	273547
7	4382	269550
8	4902	267431
9	5391	264184
10	5886	261660
11	6385	259696
12	6905	258684
13	7402	256961
14	7850	253830
15	8311	251410
16	8760	248891
17	9300	249053
18	9833	248941
19	10333	247999
20	10742	245031
21	11250	244439
22	11715	242973
23	12277	243510
24	12731	241907
25	13248	241529
26	13759	241054
27	14197	239321
28	14640	237785
29	15106	236660
30	15534	235021
31	16036	234534
32	16618	235170
33	17041	233568
34	17495	232445
35	17988	231856
36	18386	230078
37	18875	229484
38	19316	228331
39	19794	227632
40	20266	226888
41	20789	226707
42	21295	226321
43	21851	226466
44	22345	225935
45	22811	225142
46	23218	223790
47	23650	222704
48	24153	222311
49	24612	221514
50	24998	220085
51	25498	219682
52	26001	219296
53	26496	218843
54	26942	217988
55	27428	217472
56	27941	217159
57	28359	216122
58	28787	215173
59	29286	214770
60	29778	214308
61	30226	213534
62	30729	213155
63	31214	212651
64	31649	211805
65	32105	211114
66	32495	210006
67	32969	209454
68	33457	208990
69	33897	208226
70	34344	207520
71	34809	206920
72	35288	206416
73	35801	206100
74	36260	205476
75	36717	204845
76	37127	203961
77	37538	203092
78	37975	202376
79	38389	201542
80	38905	201252
81	39262	200145
82	39724	199578
83	40195	199062
84	40580	198129
85	41054	197635
86	41569	197334
87	42020	196731
88	42445	196012
89	42819	195067
90	43224	194273
91	43684	193730
92	44052	192787
93	44548	192409
94	45118	192345
95	45627	192014
96	46122	191623
97	46562	191000
98	47059	190616
99	47418	189672
100	47955	189448
101	48410	188896
102	48851	188290
103	49338	187864
104	49777	187259
105	50267	186844
106	50769	186471
107	51175	185748
108	51628	185199
109	52135	184843
110	52569	184231
111	52969	183499
112	53470	183124
113	53936	182626
114	54386	182075
115	54863	181618
116	55389	181317
117	55835	180756
118	56329	180347
119	56788	179828
120	57235	179273
121	57643	178599
122	58065	177974
123	58441	177210
124	58898	176696
125	59360	176196
126	59772	175552
127	60214	174999
128	60584	174238
129	60973	173538
130	61522	173296
131	62003	172857
132	62502	172470
133	62979	172018
134	63419	171468
135	63799	170758
136	64244	170223
137	64693	169703
138	65182	169287
139	65697	168937
140	66185	168515
141	66613	167941
142	67053	167400
143	67417	166670
144	67831	166069
145	68296	165596
146	68729	165044
147	69202	164589
148	69691	164173
149	70100	163568
150	70588	163147
151	71108	162800
152	71515	162194
153	71952	161659
154	72400	161148
155	72954	160875
156	73426	160416
157	73884	159926
158	74258	159259
159	74772	158892
160	75220	158382
161	75678	157896
162	76106	157349
163	76529	156791
164	76950	156233
165	77409	155752
166	77873	155280
167	78343	154822
168	78763	154265
169	79252	153843
170	79696	153333
171	80193	152927
172	80588	152325
173	81031	151817
174	81426	151221
175	81863	150703
176	82286	150160
177	82777	149743
178	83267	149322
179	83761	148910
180	84193	148384
181	84582	147786
182	85057	147339
183	85520	146871
184	85890	146245
185	86340	145757
186	86702	145121
187	87187	144693
188	87672	144265
189	88116	143768
190	88561	143274
191	89023	142808
192	89470	142319
193	89978	141925
194	90399	141393
195	90837	140891
196	91255	140357
197	91744	139933
198	92184	139435
199	92635	138953
200	93081	138464
201	93534	137985
202	94032	137575
203	94483	137094
204	94879	136533
205	95358	136093
206	95789	135585
207	96251	135122
208	96661	134586
209	97091	134078
210	97591	133667
211	98028	133171
212	98488	132705
213	98988	132293
214	99378	131734
215	99811	131233
216	100237	130724
217	100633	130176
218	101111	129737
219	101661	129386
220	102077	128867
221	102570	128443
222	102980	127918
223	103407	127413
224	103866	126948
225	104383	126553
226	104966	126236
227	105464	125817
228	105874	125292
229	106327	124819
230	106772	124336
231	107295	123945
232	107747	123470
233	108196	122992
234	108711	122589
235	109148	122098
236	109661	121692
237	110136	121242
238	110595	120775
239	111091	120349
240	111521	119850
241	112002	119407
242	112492	118973
243	112945	118500
244	113395	118023
245	113907	117612
246	114350	117128
247	114810	116662
248	115275	116201
249	115738	115738
250	116199	115273
251	116657	114805
252	117107	114329
253	117581	113877
254	118039	113410
255	118476	112922
256	118925	112446
257	119365	111962
258	119823	111496
259	120300	111046
260	120723	110547
261	121166	110067
262	121604	109582
263	122051	109106
264	122470	108605
265	122923	108135
266	123338	107632
267	123797	107168
268	124276	106720
269	124751	106270
270	125160	105762
271	125603	105285
272	126036	104799
273	126480	104322
274	126942	103862
275	127412	103407
276	127852	102928
277	128289	102446
278	128720	101961
279	129162	101485
280	129581	100990
281	130058	100541
282	130507	100071
283	130934	99584
284	131367	99102
285	131791	98613
286	132235	98139
287	132694	97677
288	133161	97221
289	133653	96783
290	134097	96310
291	134599	95878
292	135049	95410
293	135488	94934
294	135923	94455
295	136362	93979
296	136797	93501
297	137274	93051
298	137709	92574
299	138166	92111
300	138593	91628
301	139037	91156
302	139504	90700
303	139994	90259
304	140423	89778
305	140887	89320
306	141306	88834
307	141741	88358
308	142294	87955
309	142785	87513
310	143206	87028
311	143631	86547
312	144041	86056
313	144480	85584
314	144934	85120
315	145377	84649
316	145834	84188
317	146293	83727
318	146746	83263
319	147183	82790
320	147622	82319
321	148052	81842
322	148495	81373
323	148926	80898
324	149362	80426
325	149813	79961
326	150228	79478
327	150658	79003
328	151110	78540
329	151574	78083
330	152039	77627
331	152474	77155
332	152890	76674
333	153315	76198
334	153763	75734
335	154211	75269
336	154660	74805
337	155102	74339
338	155550	73875
339	156043	73432
340	156486	72965
341	156919	72494
342	157350	72023
343	157833	71575
344	158272	71107
345	158717	70643
346	159167	70180
347	159590	69706
348	160017	69233
349	160462	68769
350	160916	68309
351	161371	67849
352	161817	67385
353	162265	66923
354	162758	66478
355	163215	66019
356	163666	65558
357	164107	65092
358	164556	64630
359	165005	64168
360	165453	63706
361	165875	63234
362	166305	62765
363	166742	62299
364	167181	61834
365	167629	61372
366	168079	60911
367	168562	60462
368	169022	60005
369	169458	59539
370	169913	59080
371	170360	58618
372	170806	58156
