iter	MultiClass
0	1.776827367
1	1.485986992
2	1.306823852
3	1.157310223
4	1.042907687
5	0.9579724234
6	0.8764335642
7	0.818169775
8	0.7663623921
9	0.7176875456
10	0.6774264165
11	0.6398179883
12	0.605947204
13	0.5725799524
14	0.5457265546
15	0.5249815327
16	0.5083773649
17	0.4905720927
18	0.4724103102
19	0.4595589655
20	0.4419960962
21	0.4292481578
22	0.4179816051
23	0.4067409171
24	0.3974416112
25	0.389340514
26	0.3826698332
27	0.3748468923
28	0.3679917526
29	0.3633816238
30	0.3579066228
31	0.3538172997
32	0.347313222
33	0.3434411734
34	0.3392041843
35	0.3345079042
36	0.331920612
37	0.3263307141
38	0.3233873296
39	0.3213286577
40	0.3196745887
41	0.3176402684
42	0.316056469
43	0.3140119596
44	0.3111367526
45	0.3086985371
46	0.3074114775
47	0.306212436
48	0.3041929288
49	0.3033333142
50	0.3023425351
51	0.3013252872
52	0.3007356077
53	0.2999593753
54	0.2986104908
55	0.2980013779
56	0.2963985131
57	0.2957664683
58	0.295352847
59	0.2950225814
60	0.2939451544
61	0.2922222638
62	0.2917246532
63	0.2908184028
64	0.2901059545
65	0.2884238529
66	0.287790399
67	0.2871154225
68	0.2865051879
69	0.2856968129
70	0.2850306707
71	0.2831398395
72	0.28233093
73	0.2817013078
74	0.2812960974
75	0.2811269894
76	0.2792483254
77	0.2790189089
78	0.2787884772
79	0.2781671984
80	0.2779276072
81	0.2775691229
82	0.2771666762
83	0.2769269316
84	0.2768356881
85	0.2763279329
86	0.2759814011
87	0.2758130631
88	0.2754926384
89	0.2744231522
90	0.2741205235
91	0.2738295344
92	0.2733695045
93	0.27315491
94	0.2726977805
95	0.2720845715
96	0.2718557462
97	0.2716370251
98	0.2713788453
99	0.2712650783
100	0.271007709
101	0.2708084696
102	0.2706775023
103	0.2702412665
104	0.269953695
105	0.2697017889
106	0.2694215736
107	0.2693129937
108	0.2688538914
109	0.2680238058
110	0.2677416404
111	0.2671675885
112	0.26673394
113	0.26650741
114	0.266433795
115	0.2662242505
116	0.2661171457
117	0.2658720517
118	0.2655673618
119	0.2653585986
120	0.265139596
121	0.2649642006
122	0.2647978848
123	0.264550817
124	0.2643864145
125	0.2643188022
126	0.2642184976
127	0.2640265752
128	0.2638753772
129	0.2638144318
130	0.2636544019
131	0.263490384
132	0.2632388861
133	0.2631118234
134	0.2629863066
135	0.2628454201
136	0.2627833724
137	0.2625383718
138	0.2623274498
139	0.2622127987
140	0.2620003602
141	0.2617180701
142	0.2613276311
143	0.2610994709
144	0.2603186761
145	0.2600994605
146	0.2600271838
147	0.2593162779
148	0.2592157161
149	0.2591272595
150	0.2591075478
151	0.2589778914
152	0.258626851
153	0.258449148
154	0.2582977855
155	0.2581424161
156	0.2578397672
157	0.2572952961
158	0.2569504337
159	0.2566507888
160	0.2562571667
161	0.2561446288
162	0.2555360907
163	0.2552909149
164	0.2550540714
165	0.2546919118
166	0.2544874779
167	0.2542171902
168	0.2538313149
169	0.2534838368
170	0.2530411074
171	0.2522295454
172	0.251737329
173	0.2513883672
174	0.2507592135
175	0.2503647094
176	0.249926637
177	0.2494721471
178	0.2490212041
179	0.2483182383
180	0.2479544893
181	0.2473781953
182	0.2469218335
183	0.2464226972
184	0.2460634626
185	0.245763369
186	0.2451900772
187	0.2448902532
188	0.2445635121
189	0.2443703327
190	0.2441963291
191	0.2438764131
192	0.2435763525
193	0.2431461137
194	0.2427177996
195	0.2424019054
196	0.2420433399
197	0.241420889
198	0.2411143328
199	0.2408650296
200	0.2404953949
201	0.2402881825
202	0.2397178685
203	0.2393644558
204	0.2389186296
205	0.2385986454
206	0.2383171485
207	0.2380994285
208	0.2377640621
209	0.2372869151
210	0.2371254438
211	0.2365582387
212	0.236351266
213	0.2359994588
214	0.2356767585
215	0.2351546573
216	0.2349215959
217	0.2346615848
218	0.2343703783
219	0.2341367788
220	0.2338258489
221	0.2335351028
222	0.2332883901
223	0.2331421546
224	0.2329162566
225	0.2326741972
226	0.2325035199
227	0.2323829737
228	0.2320834166
229	0.2319628086
230	0.2316392446
231	0.2314078972
232	0.2311690456
233	0.2309446381
234	0.2308416811
235	0.2306541885
236	0.2304129527
237	0.2301515259
238	0.2300302214
239	0.2298191201
240	0.2295592971
241	0.2294513877
242	0.2293047021
243	0.2291524134
244	0.2289716574
245	0.2287381145
246	0.2285488097
247	0.2280295547
248	0.2278086604
249	0.2277027414
250	0.2275845709
251	0.2274457778
252	0.2273342251
253	0.2271195493
254	0.2269816545
255	0.2264794035
256	0.22634924
257	0.2262402491
258	0.2259833372
259	0.225894857
260	0.2257661949
261	0.2255854565
262	0.2253855269
263	0.2252403768
264	0.2249530688
265	0.2248511694
266	0.2246937679
267	0.2245803125
268	0.2245104442
269	0.224318668
270	0.2241524406
271	0.2238013444
